timestamp;mercado;token_seguido;tiempo_total_sesion;tiempo_ejecucion_fase3;pnl_final;inventario_final;max_inventario;cash_final;gamma_base;kappa_fallback_config;kappa_estimada_promedio;n_layers;tick_layers;q_factor_vol;r_factor_spread;warmup_ticks;q_base_calibrado;r_base_calibrado;sigma_base_calibrado;bid_colocados_capa_0;ask_colocados_capa_0;bid_ejecutados_capa_0;ask_ejecutados_capa_0;bid_colocados_capa_1;ask_colocados_capa_1;bid_ejecutados_capa_1;ask_ejecutados_capa_1;bid_colocados_capa_2;ask_colocados_capa_2;bid_ejecutados_capa_2;ask_ejecutados_capa_2
2025-11-16 14:47:45;btc updown 15m 1763300700?;Up;64.07;35.89;-0.95678;7;10;-3.49186;0.3;40;40.0;3;0.003;10.0;50.0;20;[1.93770000e-04 1.00000000e-06 2.23332049e+05 1.08547493e+05];[3.32500000e-05 1.88572262e+05];0.01;8;11;4;1;8;11;3;1;8;11;3;1
2025-11-16 14:51:36;btc updown 15m 1763300700?;Up;45.75;17.91;-0.02912;-3;10;2.31162;0.3;40;40.0;3;0.003;10.0;50.0;20;[6.21800000e-05 1.00000000e-06 1.61400980e+05 1.24186688e+05];[1.00000000e-06 2.19260337e+05];0.01;7;7;0;1;7;7;0;1;7;7;0;1
2025-11-16 14:58:13;btc updown 15m 1763300700?;Up;0.97;0;0.0;0;10;0.0;0.3;;False;3;0.003;10.0;50.0;20;;;;0;0;0;0;0;0;0;0;0;0;0;0
2025-11-16 14:58:43;btc updown 15m 1763300700?;Up;3.12;0;0.0;0;10;0.0;0.3;;False;3;0.003;10.0;50.0;20;;;;0;0;0;0;0;0;0;0;0;0;0;0
2025-11-16 14:59:04;btc updown 15m 1763301600?;Up;9.62;0;0.0;0;10;0.0;0.3;;False;3;0.003;10.0;50.0;20;;;;0;0;0;0;0;0;0;0;0;0;0;0
2025-11-16 15:05:27;btc updown 15m 1763301600?;Up;226.35;180.44;1.09322;-3;10;3.269;0.3;45.0;True;3;0.003;10.0;50.0;20;[1.00000000e-06 1.74810000e-04 1.91403415e+04 1.24631554e+04];[1.00000000e-06 1.96611508e+04];0.01;63;66;5;7;63;66;5;7;63;66;4;3
2025-11-16 15:11:33;btc updown 15m 1763301600?;Up;160.77;129.13;-0.84546;1;10;-1.45207;0.3;45.0;True;3;0.003;10.0;50.0;20;[6.51400000e-05 1.43600000e-05 2.21427562e+06 6.61234797e+05];[1.00000000e-06 1.65236559e+06];0.01;48;48;10;10;48;48;10;9;48;48;9;9
2025-11-16 15:24:48;btc updown 15m 1763302500?;Up;4.84;0;0.0;0;10;0.0;0.3;;False;3;0.003;10.0;50.0;20;;;;0;0;0;0;0;0;0;0;0;0;0;0
2025-11-16 15:48:07;btc updown 15m 1763304300?;Up;12.77;0;0.0;0;10;0.0;0.3;;False;3;0.003;10.0;50.0;20;;;;0;0;0;0;0;0;0;0;0;0;0;0
2025-11-16 16:03:13;btc updown 15m 1763305200?;Up;309.09;180.51;-2.72492;2;10;-2.98948;0.3;110.1721;False;3;0.01;10.0;50.0;20;[1.00000000e-06 1.00000000e-06 4.53738432e+04 4.50038916e+04];[2.8400000e-06 7.5967994e+04];0.01;78;86;11;10;78;86;4;3;78;86;1;1
2025-11-16 16:09:45;btc updown 15m 1763305200?;Up;288.71;241.55;-3.89158;1;10;-4.11486;0.1;50;True;3;0.01;10.0;50.0;20;[1.00000000e-06 1.00000000e-06 3.94236249e+04 4.28090418e+04];[1.47180000e-04 5.07705104e+04];0.01;102;103;16;18;102;103;12;11;102;103;8;6
